What is your age?,What is your gender?,What is your highest level of education?,What was your field of study?,How many years have passed since your graduation?,Are you currently employed?,What is your current employment status?,How long did it take to find a job after graduation?,Is your current job related to your field of study?,What was the main reason for working in a job unrelated to your degree? (If applicable),Have you experienced any periods of unemployment since graduation?,How satisfied are you with your current job?,Do you see clear career growth opportunities in your current job?,Have you had to change jobs to find better employment opportunities?,How often have you considered further education or training to improve your job prospects?,Do you feel your degree adequately prepared you for the job market?,What skills do you think were missing from your university education that employers demand? (Check all that apply),Have you had to pursue additional training or certifications to improve employability?,Were there any gaps in your education that you believe should have been addressed?,"On a scale of 1-10, How well did your degree prepare you for the job market?",Have you taken out student loans to finance your education?,"On a scale of 1-10, how would you rate the financial burden of your education?",Do you believe your education offers a good return on investment?,Have you ever faced difficulties in finding a job due to a lack of experience?,What do you think should be improved in Sri Lanka’s higher education system to enhance graduate employability? (Check all that apply),Would you consider leaving Sri Lanka for better job opportunities?,"Overall, how satisfied are you with the quality of education you received?",What improvements would you suggest for the curriculum to better prepare students for the job market?,"If you are unemployed, how long have you been seeking employment?",What do you think is the primary reason for your current unemployment?,Have you applied for jobs related to your field of study while unemployed?,"If yes, what has been the main reason for not securing a job related to your degree?",How often do you face rejections from employers when applying for jobs?,Do you feel that having a bachelor’s degree has made it more difficult to find a job?,What do you think would improve your chances of finding employment? (Check all that apply),Have you taken any steps to improve your employability while unemployed?,How do you feel about your prospects of securing a job in the near future?,What do you think needs to change in the education system or job market to reduce unemployment among bachelor’s degree holders? (Open-ended)
31–35,Male,Postgraduate Degree,Engineering,6,Yes,Employed (Full-time),More than 1 year,"Yes, highly related",,,4,Somewhat,No,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,8,No,1,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
18–24,Female,Bachelor’s Degree,Business & Management,5 months ,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Personal or family reasons,Yes,High competition for available roles,5,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs), Better access to career guidance and resources","Yes, I have gained work experience through internships or volunteer work",2,Both 
25–30,Male,Bachelor’s Degree,Engineering,3,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",Lack of job opportunities in my field,,1,Yes,Yes,Occasionally,Yes,Practical/Technical Skills,Yes,Yes,2,No,2,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,1,Communication and teamwork ,,,,,,,,,,
25–30,Male,Postgraduate Degree,"Science & Technology, Medicine/Health Sciences",3,Yes,Employed (Part-time),Less than 3 months,Not related,Better salary in another sector,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy",Yes,Yes,6,No,5,Maybe,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,2,Have an up to date curriculum and have strong collabs with industry and research ,,,,,,,,,,
18–24,Female,Bachelor’s Degree,Business & Management,2,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Prefer to focus on personal projects or further studies,No,High competition for available roles,5,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs)","Yes, I have enrolled in additional courses or certifications",3,Should degree develop towards job market 
25–30,Male,Bachelor’s Degree,Engineering,6,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,5,Yes,5,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,3,Updating course content collaborating with the industry,,,,,,,,,,
18–24,Female,Bachelor’s Degree,Other (Please specify),1,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,3,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving",No,Yes,6,No,5,Yes,Yes,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,"Build up attitude, and leadership and good commiunication",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Other (Please specify),2,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,4,Somewhat,Yes,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,2,No,4,Maybe,Yes,"More practical training & internships, Career guidance & counseling",Maybe,4,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,4,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,5,Yes,Yes,Occasionally,Somewhat,Practical/Technical Skills,No,No,8,No,4,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,4,"To better prepare students for the job market, the curriculum should incorporate a mix of technical skills, soft skills and real-world experience. ",,,,,,,,,,
25–30,Male,Postgraduate Degree,Engineering,4,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,1,Yes,Yes,Occasionally,Yes,Communication & Soft Skills,Yes,Yes,8,No,1,Yes,No,Career guidance & counseling,Maybe,2,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,3,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Prefer to focus on personal projects or further studies,Yes,High competition for available roles,3,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Improving job search strategies","Yes, I have gained work experience through internships or volunteer work",2,Education system needs to focus on confidence and personality development
25–30,Male,Bachelor’s Degree,Medicine/Health Sciences,1.5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,Yes,Occasionally,Yes,Practical/Technical Skills,Yes,No,5,Yes,5,Yes,No,More practical training & internships,Yes,3,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Medicine/Health Sciences,2 years,Yes,Employed (Full-time),3–6 months,Not related,Lack of job opportunities in my field,,3,Yes,Yes,Rarely,Somewhat,"Practical/Technical Skills, Leadership & Management Skills",Yes,Yes,4,Yes,4,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,"More practical training & internships and 
Stronger university-industry collaboration
For the job market in sri lanka and other countries",,,,,,,,,,
25–30,Female,Postgraduate Degree,"Business & Management, Other (Please specify)",3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,5,Yes,Yes,Very often,Yes,Practical/Technical Skills,Yes,No,8,No,10,Yes,No,"More practical training & internships, Career guidance & counseling",Maybe,5,Get updated about job market Vs their qualifications. ,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,2,Yes,Employed (Full-time),Less than 3 months,Not related,Lack of job opportunities in my field,,4,No,Yes,Occasionally,No,Communication & Soft Skills,No,Yes,5,No,4,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,2,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Prefer to focus on personal projects or further studies,No,Other (Please specify),1,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","No, I have not taken any steps",3,Education system 
25–30,Male,Postgraduate Degree,Science & Technology,4,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,4,Yes,Yes,Rarely,Somewhat,"Practical/Technical Skills, Leadership & Management Skills, Industry-Specific Knowledge",Yes,No,3,No,4,Yes,Yes,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,2 years,Yes,Employed (Full-time),Less than 3 months,Not related,Better salary in another sector,,3,Somewhat,Yes,Rarely,Somewhat,"Practical/Technical Skills, Communication & Soft Skills",No,Yes,8,No,7,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of required skills/experience,,3,Yes,Yes,Occasionally,Yes,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,4,No,7,No,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,,,,,,,,,,,
25–30,Male,Diploma/Certificate,Business & Management,2 years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,1,Somewhat,Yes,Very often,Somewhat,Digital Literacy,Yes,Yes,6,No,8,Yes,Yes,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,"The curriculum should focus on practical skills , industry relevant training , internship ,soft skills development , and digital literacy to better align with job market demands.",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Medicine/Health Sciences,2,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,1,No,Yes,Very often,No,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,4,Yes,5,No,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Science & Technology,3,Yes,Employed (Full-time),Less than 3 months,Not related,Lack of job opportunities in my field,,1,Yes,Yes,Very often,No,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,No,1,No,10,No,Yes,"More practical training & internships, Updated curriculum aligned with industry needs",Yes,5,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,1,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,1,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have enrolled in additional courses or certifications",5,
25–30,Female,Bachelor’s Degree,Science & Technology,1 year,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1,Yes,Yes,Very often,Yes,Communication & Soft Skills,No,No,10,No,9,Yes,No,Stronger university-industry collaboration,No,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Business & Management,2,Yes,Employed (Full-time),More than 1 year,Somewhat related,Personal preference,,2,Somewhat,Yes,Very often,No,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,8,No,5,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,4,,,,,,,,,,,
36+,Male,Bachelor’s Degree,Arts & Humanities,10,Yes,Self-employed,More than 1 year,Not related,Lack of job opportunities in my field,,2,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Leadership & Management Skills",Yes,Yes,5,Yes,8,Maybe,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,2,Need to do part time jobs from school period to get experiences ,,,,,,,,,,
36+,Male,Bachelor’s Degree,Science & Technology,20,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1,Yes,Yes,Very often,Somewhat,"Practical/Technical Skills, Critical Thinking & Problem-Solving",Yes,Yes,6,No,5,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,0.5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,No,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",No,No,8,Yes,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,4,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Engineering,4,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,4,Somewhat,Yes,Very often,Yes,Practical/Technical Skills,Yes,Yes,9,Yes,8,Yes,Yes,More practical training & internships,Yes,5,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Other (Please specify),4 yrs,Yes,Employed (Full-time),3–6 months,Not related,Personal preference,,2,Yes,No,Very often,Yes,"Practical/Technical Skills, Industry-Specific Knowledge",Yes,Yes,8,No,7,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Arts & Humanities,One year,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",Lack of job opportunities in my field,,1,Somewhat,No,Very often,Somewhat,"Practical/Technical Skills, Critical Thinking & Problem-Solving",No,No,5,No,5,Maybe,Yes,More practical training & internships,Maybe,3,More practical trainings and internships ,,,,,,,,,,
36+,Male,Bachelor’s Degree,Science & Technology,19,Yes,Employed (Full-time),Less than 3 months,Somewhat related,,,4,Somewhat,No,Occasionally,Somewhat,Practical/Technical Skills,Yes,No,8,No,6,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,"In addition to the fixed curriculum, introducing short, specified cources focused on emerging technologies and skills will be a viable approach ",,,,,,,,,,
25–30,Female,Bachelor’s Degree,Arts & Humanities,2,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of job opportunities in my field,Yes,Skills mismatch,1,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, Better access to career guidance and resources","Yes, I have enrolled in additional courses or certifications",5,
31–35,Female,Bachelor’s Degree,Business & Management,9,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Personal preference,,4,Yes,No,Occasionally,Yes,Practical/Technical Skills,No,No,7,No,5,Yes,No,Career guidance & counseling,Maybe,3,Problem Solving Skills,,,,,,,,,,
18–24,Male,Bachelor’s Degree,Engineering,less than one,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,No,Yes,Very often,Somewhat,Leadership & Management Skills,Yes,Yes,9,No,9,Yes,Yes,Updated curriculum aligned with industry needs,Yes,1,,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,Undergraduate ,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,3,No,Yes,Occasionally,Somewhat,Communication & Soft Skills,Yes,Yes,8,No,5,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,2,,,,,,,,,,,
18–24,Male,Bachelor’s Degree,Engineering,3 years ,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Prefer to focus on personal projects or further studies,Yes,Skills mismatch,2,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have gained work experience through internships or volunteer work",2,
18–24,Female,Diploma/Certificate,Business & Management,1,Yes,Employed (Full-time),3–6 months,Somewhat related,Personal preference,,2,Yes,Yes,Very often,No,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,4,No,4,Yes,Yes,"More practical training & internships, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,2,On the job trainings (even for shorter periods)  in various fields so that when graduated finding employment opportunities will be easier and connections with personnels in many fields are already gained,,,,,,,,,,
25–30,Female,Bachelor’s Degree,Science & Technology,3,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of experience,Yes,Employers seeking more experience,3,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have gained work experience through internships or volunteer work",3,
18–24,Male,Bachelor’s Degree,Social Sciences,1,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Lack of job opportunities in my field,Yes,Employers seeking more experience,3,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Better access to career guidance and resources","Yes, I have enrolled in additional courses or certifications",4,
25–30,Male,Bachelor’s Degree,Arts & Humanities,1,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Prefer to focus on personal projects or further studies,Yes,Employers seeking more experience,3,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Better access to career guidance and resources","Yes, I have enrolled in additional courses or certifications",3,
18–24,Female,Bachelor’s Degree,Science & Technology,0.5,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Insufficient skills or qualifications,Yes,Employers seeking more experience,2,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Relocating to a different city or country, Better access to career guidance and resources","Yes, I have enrolled in additional courses or certifications",3,
31–35,Male,Bachelor’s Degree,Business & Management,0.5,Yes,Self-employed,More than 1 year,Somewhat related,Personal preference,,2,Somewhat,Yes,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,8,Yes,8,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Maybe,2,,,,,,,,,,,
25–30,Female,Postgraduate Degree,Arts & Humanities,0.25,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,Yes,Occasionally,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Digital Literacy, Industry-Specific Knowledge",Yes,Yes,8,Yes,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,1,,,,,,,,,,,
31–35,Female,Diploma/Certificate,Other (Please specify),5,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of experience,Yes,Employers seeking more experience,2,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry, Relocating to a different city or country, Better access to career guidance and resources, Improving job search strategies","Yes, I have enrolled in additional courses or certifications",3,
31–35,Female,Other (Please specify),Arts & Humanities,10,Yes,Employed (Full-time),More than 1 year,Not related,Better salary in another sector,,2,Yes,Yes,Occasionally,Yes,"Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,3,No,7,Maybe,Yes,Career guidance & counseling,No,4,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Arts & Humanities,3,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,1,"Yes, because the degree creates a mismatch with job market expectations","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Better access to career guidance and resources, Improving job search strategies, Other (Please specify)","Yes, I have enrolled in additional courses or certifications",4,
18–24,Female,Bachelor’s Degree,Science & Technology,0,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Other (Please specify),No,Other (Please specify),5,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Better access to career guidance and resources, Other (Please specify)","No, I have not taken any steps",4,
25–30,Male,Bachelor’s Degree,Engineering,1,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of required skills/experience,,3,Yes,Yes,Occasionally,Yes,Practical/Technical Skills,Yes,No,10,Yes,10,Yes,Yes,Stronger university-industry collaboration,Yes,4,Logical thinking ,,,,,,,,,,
25–30,Female,Diploma/Certificate,Engineering,3,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Somewhat,Yes,Very often,Somewhat,"Critical Thinking & Problem-Solving, Leadership & Management Skills",Yes,Yes,3,No,9,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Maybe,2,,,,,,,,,,,
36+,Male,Diploma/Certificate,Engineering,17,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,1,Yes,Yes,Occasionally,Somewhat,Leadership & Management Skills,Yes,Yes,5,No,3,Maybe,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Yes,3,,,,,,,,,,,
31–35,Male,Postgraduate Degree,Engineering,5,No,,,,,,,,,,,,,,,,,,,,,,,3–6 months,Lack of experience,Yes,Overqualified for available positions,2,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs)","Yes, I have expanded my professional network",4,Education is not directly matched with the job industry.
25–30,Male,Bachelor’s Degree,Engineering,5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,4,Yes,No,Occasionally,Yes,"Communication & Soft Skills, Industry-Specific Knowledge",No,Yes,8,No,3,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",No,2,,,,,,,,,,,
31–35,Female,Postgraduate Degree,"Engineering, Business & Management",7 years,Yes,Employed (Full-time),6 months – 1 year,"Yes, highly related",,,3,No,Yes,Occasionally,No,"Practical/Technical Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,5,No,5,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,3,Need to find the gap between the job market and the university outcome. ,,,,,,,,,,
36+,Female,Postgraduate Degree,"Science & Technology, Engineering",19,No,,,,,,,,,,,,,,,,,,,,,,,Not seeking employment,Prefer to focus on personal projects or further studies,No,Other (Please specify),5,"No, having a degree has helped in securing interviews",Networking or connections within the industry,"No, I have not taken any steps",1,"The education system should focus more on fostering creativity and enhancing individual skills that are unique to each person. Similarly, the job market needs to be more precise and transparent about the specific skills and qualifications they require"
25–30,Male,Bachelor’s Degree,Engineering,5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,4,Somewhat,No,Occasionally,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,No,9,No,7,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Yes,5,Being up to date with the trends based on the industry,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Business & Management,4 years,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,2,Yes,No,Very often,Somewhat,"Practical/Technical Skills, Communication & Soft Skills, Industry-Specific Knowledge",Yes,Yes,6,No,8,Yes,No,"More practical training & internships, Updated curriculum aligned with industry needs",Yes,2,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Science & Technology,5,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,No,Yes,Very often,Yes,Communication & Soft Skills,Yes,Yes,8,No,1,Yes,Yes,"Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,4,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Engineering,5,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,2,Somewhat,Yes,Occasionally,Somewhat,Industry-Specific Knowledge,Yes,Yes,6,No,4,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs",Maybe,2,Industrial related modules include more into the curriculum with practical experience,,,,,,,,,,
18–24,Female,Bachelor’s Degree,"Science & Technology, Business & Management",0,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of required skills/experience,,4,Somewhat,No,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills",No,Yes,7,No,2,Yes,No,"More practical training & internships, Stronger university-industry collaboration, Updated curriculum aligned with industry needs, Career guidance & counseling",Maybe,4," The curriculum is good overall, but it can be improved by incorporating more industry-relevant projects, soft skills training, and hands-on internships. Including real-world case studies and regular industry expert sessions would also better prepare students for the evolving job market.",,,,,,,,,,
18–24,Male,Bachelor’s Degree,Science & Technology,0,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of job opportunities in my field,,5,No,Yes,Very often,Yes,"Practical/Technical Skills, Communication & Soft Skills, Leadership & Management Skills",Yes,Yes,8,No,7,Yes,Yes,"More practical training & internships, Stronger university-industry collaboration, Career guidance & counseling",Yes,4,,,,,,,,,,,
18–24,Female,Bachelor’s Degree,Business & Management,1,No,,,,,,,,,,,,,,,,,,,,,,,6 months – 1 year,Lack of job opportunities in my field,Yes,Lack of job openings in my field,4,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have expanded my professional network",2,"The current education system is too focused on theory and does not align well with industry requirements. There is a lack of practical training, career guidance, and exposure to real-world work environments. Universities should update curricula regularly and collaborate more with industries to reduce the growing unemployment among graduates."
18–24,Male,Bachelor’s Degree,Science & Technology,1,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Lack of job opportunities in my field,,4,Somewhat,Yes,Occasionally,Somewhat,"Communication & Soft Skills, Leadership & Management Skills",Yes,Yes,4,No,5,Yes,No,"More practical training & internships, Stronger university-industry collaboration",Yes,1,The curriculum gives students a strong foundation in key subjects and helps build critical thinking and teamwork skills. It's great that technology and group projects are included to support real-world learning.,,,,,,,,,,
31–35,Male,Bachelor’s Degree,Science & Technology,5,No,,,,,,,,,,,,,,,,,,,,,,,More than 1 year,Lack of experience,Yes,Lack of job openings in my field,5,"No, having a degree has helped in securing interviews","More work experience (e.g., internships, part-time jobs), Networking or connections within the industry","Yes, I have enrolled in additional courses or certifications",1,"I have a bachelor's degree in software engineering, but I still don’t have a job. They teach too much theory and not enough practical skills. Companies want experience, but no one gives us a chance. It feels unfair, frustrating and bit of depression. "
18–24,Female,Bachelor’s Degree,Science & Technology,0,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Prefer to focus on personal projects or further studies,No,Other (Please specify),4,"No, having a degree has helped in securing interviews",Additional skills or certifications,"No, I have not taken any steps",3,
36+,Prefer not to say,Postgraduate Degree,Medicine/Health Sciences,20,No,,,,,,,,,,,,,,,,,,,,,,,Less than 3 months,Personal or family reasons,No,,2,"No, having a degree has helped in securing interviews","Additional skills or certifications, More work experience (e.g., internships, part-time jobs)","No, I have not taken any steps",4,need to improve the syllabus and the soft skills.. educational patterns are not good  
31–35,Female,Other (Please specify),Engineering,6,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",,,3,Somewhat,Yes,Occasionally,Yes,"Practical/Technical Skills, Communication & Soft Skills, Critical Thinking & Problem-Solving, Leadership & Management Skills, Industry-Specific Knowledge",Yes,Yes,7,No,6,No,Yes,"More practical training & internships, Stronger university-industry collaboration",No,3,,,,,,,,,,,
25–30,Male,Bachelor’s Degree,Engineering,4,Yes,Employed (Full-time),Less than 3 months,"Yes, highly related",Personal preference,,1,Yes,Yes,Very often,Yes,Practical/Technical Skills,Yes,Yes,1,Yes,1,Yes,Yes,More practical training & internships,Yes,1,Learn,,,,,,,,,,
36+,Male,Postgraduate Degree,Business & Management,20 years,Yes,Employed (Full-time),Less than 3 months,Somewhat related,Lack of job opportunities in my field,,3,Somewhat,No,Rarely,Somewhat,Practical/Technical Skills,Yes,Yes,3,No,5,Yes,No,Updated curriculum aligned with industry needs,Maybe,3,"Degrees needs yo be changed, according to the market or industry needs ",,,,,,,,,,
